Date,Clicks,Impressions,CTR,Position
2026-03-05,28,323,8.67%,22.5
2026-03-06,18,304,5.92%,20.1
2026-03-07,14,321,4.36%,33.9
2026-03-08,6,72,8.33%,25.5
2026-03-09,21,248,8.47%,15.6
2026-03-10,22,136,16.18%,12.1
2026-03-11,15,138,10.87%,17.2
2026-03-12,11,193,5.7%,26.6
2026-03-13,23,212,10.85%,20.7
2026-03-14,9,254,3.54%,41.4
2026-03-15,17,189,8.99%,20.2
2026-03-16,31,386,8.03%,17.2
2026-03-17,31,306,10.13%,13
2026-03-18,34,291,11.68%,10.8
2026-03-19,17,301,5.65%,20.5
2026-03-20,35,526,6.65%,18.9
2026-03-21,11,298,3.69%,31
2026-03-22,18,183,9.84%,17.1
2026-03-23,36,400,9%,15.9
2026-03-24,30,320,9.38%,17.3
2026-03-25,23,206,11.17%,11.3
2026-03-26,25,238,10.5%,15.3
2026-03-27,29,236,12.29%,13.2
2026-03-28,10,136,7.35%,27.8
2026-03-29,13,180,7.22%,20.1
2026-03-30,26,191,13.61%,17.6
2026-03-31,24,179,13.41%,14.7
2026-04-01,25,205,12.2%,13.4
2026-04-02,20,307,6.51%,19
2026-04-03,26,337,7.72%,18.9
2026-04-04,9,222,4.05%,24.7
2026-04-05,7,303,2.31%,21.9
2026-04-06,21,194,10.82%,15.6
2026-04-07,25,292,8.56%,20
2026-04-08,19,193,9.84%,13.1
2026-04-09,16,234,6.84%,16.1
2026-04-10,16,284,5.63%,15.4
2026-04-11,14,202,6.93%,22.6
2026-04-12,3,116,2.59%,14.4
2026-04-13,10,192,5.21%,15.7
2026-04-14,28,391,7.16%,14.5
2026-04-15,22,482,4.56%,13
2026-04-16,24,322,7.45%,17.7
2026-04-17,27,677,3.99%,17.4
2026-04-18,15,432,3.47%,27.4
2026-04-19,9,436,2.06%,19.1
2026-04-20,29,254,11.42%,11.9
2026-04-21,44,576,7.64%,15.7
2026-04-22,33,769,4.29%,17.1
2026-04-23,32,473,6.77%,19.5
2026-04-24,31,357,8.68%,15.3
2026-04-25,15,401,3.74%,30.1
2026-04-26,11,225,4.89%,15.7
2026-04-27,38,325,11.69%,11
2026-04-28,30,340,8.82%,13.5
2026-04-29,28,332,8.43%,14.4
2026-04-30,28,540,5.19%,23.3
2026-05-01,16,412,3.88%,19
2026-05-02,13,439,2.96%,29.4
2026-05-03,12,182,6.59%,13.4
2026-05-04,35,1010,3.47%,20.2
2026-05-05,28,303,9.24%,14.1
2026-05-06,24,298,8.05%,12.2
2026-05-07,30,512,5.86%,18.3
2026-05-08,32,466,6.87%,14.2
2026-05-09,14,655,2.14%,26.3
2026-05-10,17,302,5.63%,16.4
2026-05-11,27,866,3.12%,15.8
2026-05-12,39,435,8.97%,12.8
2026-05-13,51,447,11.41%,12.1
2026-05-14,46,576,7.99%,16
2026-05-15,48,509,9.43%,11.6
2026-05-16,18,472,3.81%,22
2026-05-17,25,563,4.44%,15.1
2026-05-18,38,494,7.69%,11.9
2026-05-19,44,424,10.38%,10.4
2026-05-20,44,592,7.43%,12.7
2026-05-21,38,761,4.99%,15.2
2026-05-22,41,566,7.24%,12.3
2026-05-23,33,575,5.74%,16.4
2026-05-24,37,736,5.03%,12.6
2026-05-25,48,710,6.76%,8.9
2026-05-26,56,836,6.7%,10.9
2026-05-27,68,602,11.3%,7.8
2026-05-28,41,645,6.36%,11.8
2026-05-29,41,630,6.51%,12.1
2026-05-30,14,511,2.74%,15.6
2026-05-31,15,308,4.87%,10.9
2026-06-01,47,1017,4.62%,10.9
2026-06-02,49,1138,4.31%,11.1
2026-06-03,49,842,5.82%,10.1
2026-06-04,42,1046,4.02%,13.9
2026-06-05,45,511,8.81%,11.1
2026-06-06,24,537,4.47%,17
2026-06-07,26,465,5.59%,13.7
2026-06-08,45,881,5.11%,10.4
2026-06-09,33,702,4.7%,10.8
2026-06-10,57,575,9.91%,8
2026-06-11,45,619,7.27%,12.6
2026-06-12,36,609,5.91%,11.6
2026-06-13,22,559,3.94%,17.1
2026-06-14,21,541,3.88%,12.9
2026-06-15,47,580,8.1%,9
2026-06-16,43,548,7.85%,8.8
2026-06-17,64,780,8.21%,10.5
2026-06-18,51,682,7.48%,11.5
2026-06-19,41,661,6.2%,9.5
2026-06-20,29,647,4.48%,14.7
2026-06-21,27,406,6.65%,12.9
2026-06-22,54,584,9.25%,8.2
2026-06-23,42,575,7.3%,9.6
2026-06-24,60,532,11.28%,8.8
2026-06-25,50,844,5.92%,12.4
2026-06-26,40,862,4.64%,11.5
2026-06-27,28,831,3.37%,14
2026-06-28,30,637,4.71%,11.5
2026-06-29,54,713,7.57%,7.8
2026-06-30,51,669,7.62%,8.6
2026-07-01,46,658,6.99%,9
2026-07-02,48,587,8.18%,10.3
2026-07-03,44,769,5.72%,11.8
2026-07-04,23,922,2.49%,15.4
2026-07-05,30,389,7.71%,12.2
2026-07-06,63,737,8.55%,7.4
2026-07-07,51,859,5.94%,10.5
2026-07-08,57,525,10.86%,9.4
2026-07-09,46,805,5.71%,12.1
2026-07-10,36,668,5.39%,10.3
2026-07-11,21,573,3.66%,13
2026-07-12,40,405,9.88%,9.2
2026-07-13,53,897,5.91%,8.8
2026-07-14,63,727,8.67%,8.4
2026-07-15,75,736,10.19%,7.6
2026-07-16,70,778,9%,8.3
2026-07-17,44,693,6.35%,9.7
2026-07-18,27,698,3.87%,11.1
2026-07-19,49,508,9.65%,10.3
2026-07-20,108,1231,8.77%,8.9
2026-07-21,89,910,9.78%,8.3
2026-07-22,72,818,8.8%,7.4
2026-07-23,71,956,7.43%,9.3
2026-07-24,48,595,8.07%,8.1
2026-07-25,42,733,5.73%,11.6
2026-07-26,28,424,6.6%,8.7
2026-07-27,62,1005,6.17%,9.2
2026-07-28,70,871,8.04%,9.3
2026-07-29,55,865,6.36%,9.7
2026-07-30,68,890,7.64%,10.3
2026-07-31,33,702,4.7%,10.5
2026-08-01,20,577,3.47%,14.8
2026-08-02,22,449,4.9%,12.7
2026-08-03,45,722,6.23%,8.9
2026-08-04,46,954,4.82%,11.8
2026-08-05,47,651,7.22%,9.7
2026-08-06,36,724,4.97%,11.3
2026-08-07,40,639,6.26%,10.1
2026-08-08,16,926,1.73%,14.7
2026-08-09,29,393,7.38%,9.7
2026-08-10,59,911,6.48%,8.7
2026-08-11,42,774,5.43%,9.6
2026-08-12,59,711,8.3%,9.2
2026-08-13,43,787,5.46%,11.1
2026-08-14,51,843,6.05%,9.3
2026-08-15,26,744,3.49%,13.7
2026-08-16,26,673,3.86%,13.6
2026-08-17,45,768,5.86%,8.8
2026-08-18,57,993,5.74%,9.3
2026-08-19,75,929,8.07%,9.3
2026-08-20,48,879,5.46%,11.3
2026-08-21,55,1007,5.46%,11.7
2026-08-22,21,745,2.82%,16
2026-08-23,28,586,4.78%,10.3
2026-08-24,51,848,6.01%,9.2
2026-08-25,39,753,5.18%,10
2026-08-26,60,948,6.33%,9.4
2026-08-27,45,794,5.67%,11
2026-08-28,61,684,8.92%,10.8
2026-08-29,26,639,4.07%,14.6
2026-08-30,30,617,4.86%,15.3
2026-08-31,36,588,6.12%,9.5
2026-09-01,39,913,4.27%,11.3
2026-09-02,53,690,7.68%,9
2026-09-03,41,1020,4.02%,12.4
2026-09-04,42,1052,3.99%,13.4
