Country,Clicks,Impressions,CTR,Position
Moldova,6213,97425,6.38%,12.38
Germany,85,1032,8.24%,9.96
Italy,75,739,10.15%,9.22
Romania,67,1836,3.65%,32.57
France,67,656,10.21%,9.86
Poland,28,199,14.07%,10.73
Netherlands,26,408,6.37%,7.78
Ukraine,24,171,14.04%,10.87
United Kingdom,22,870,2.53%,9.71
Belgium,16,145,11.03%,9.27
Ireland,12,152,7.89%,9.37
Spain,12,128,9.38%,10.88
Czechia,9,115,7.83%,10.22
Switzerland,8,49,16.33%,6.37
Portugal,6,59,10.17%,10.81
Greece,5,51,9.8%,9.47
Austria,5,47,10.64%,7.21
Denmark,5,39,12.82%,11.95
Turkey,3,58,5.17%,13.16
Israel,3,38,7.89%,12.42
Russia,2,109,1.83%,14.87
Iran,2,10,20%,10
Norway,1,46,2.17%,15.87
Bulgaria,1,18,5.56%,10.06
Cyprus,1,12,8.33%,6.75
Lithuania,1,10,10%,10.2
Estonia,1,7,14.29%,13.43
Luxembourg,1,5,20%,11.6
Iceland,1,4,25%,6.5
Slovenia,1,3,33.33%,7.67
United States,0,1330,0%,9.4
Brazil,0,73,0%,5.81
Canada,0,55,0%,10.85
United Arab Emirates,0,49,0%,5.82
Vietnam,0,33,0%,17.97
India,0,33,0%,19.33
Mexico,0,32,0%,11.53
Argentina,0,20,0%,5.65
Japan,0,18,0%,13.33
Slovakia,0,17,0%,9.24
Latvia,0,16,0%,20.38
Bangladesh,0,16,0%,23.94
Indonesia,0,16,0%,26.12
Philippines,0,16,0%,29.12
China,0,15,0%,13.07
Sweden,0,14,0%,11.5
Thailand,0,14,0%,17.71
Hungary,0,11,0%,13.27
Australia,0,11,0%,17.82
Algeria,0,11,0%,19.73
Pakistan,0,11,0%,21.55
Colombia,0,10,0%,6.8
Finland,0,9,0%,5.78
South Korea,0,9,0%,7.89
Chile,0,9,0%,8.56
Albania,0,9,0%,9.56
South Africa,0,9,0%,17.33
Malta,0,7,0%,6.14
Hong Kong,0,7,0%,6.29
Egypt,0,7,0%,6.71
Morocco,0,7,0%,32.86
Taiwan,0,5,0%,3.4
Singapore,0,5,0%,5.6
Peru,0,5,0%,6
Belarus,0,5,0%,6.6
Saudi Arabia,0,5,0%,7.2
Malaysia,0,5,0%,36.4
Uzbekistan,0,4,0%,3.25
Bolivia,0,3,0%,5
Guatemala,0,3,0%,6.33
Iraq,0,3,0%,6.67
New Zealand,0,3,0%,7.33
Nigeria,0,3,0%,8.67
Croatia,0,3,0%,11.67
Armenia,0,3,0%,12.67
Costa Rica,0,3,0%,26
Kuwait,0,2,0%,4
Ecuador,0,2,0%,5
Panama,0,2,0%,6
Dominican Republic,0,2,0%,7.5
Benin,0,2,0%,10
Uruguay,0,2,0%,10
Ethiopia,0,1,0%,1
Georgia,0,1,0%,1
Guinea,0,1,0%,1
Azerbaijan,0,1,0%,2
Sudan,0,1,0%,2
Turkmenistan,0,1,0%,2
Honduras,0,1,0%,3
Kazakhstan,0,1,0%,3
Trinidad & Tobago,0,1,0%,3
Nepal,0,1,0%,4
Bosnia & Herzegovina,0,1,0%,5
Grenada,0,1,0%,6
Kyrgyzstan,0,1,0%,7
Cuba,0,1,0%,8
Kenya,0,1,0%,8
Sri Lanka,0,1,0%,8
Puerto Rico,0,1,0%,9
French Polynesia,0,1,0%,9
Angola,0,1,0%,10
Palestine,0,1,0%,10
Togo,0,1,0%,10
Venezuela,0,1,0%,10
Serbia,0,1,0%,12
Senegal,0,1,0%,13
Burkina Faso,0,1,0%,15
Jordan,0,1,0%,17
Bahrain,0,1,0%,18
Tanzania,0,1,0%,23
Paraguay,0,1,0%,38
Botswana,0,1,0%,80
Afghanistan,0,1,0%,97
